Timestamp           MALEE.Open     MALEE.High      MALEE.Low    MALEE.Close                .PE 
21/04/08                 1.800          1.800          1.750          1.750               0.000
22/04/08                 1.830          1.830          1.830          1.830               0.000
23/04/08                 1.900          1.900          1.900          1.900               0.000
24/04/08                 1.750          1.750          1.750          1.750               0.000
25/04/08                 2.000          2.000          2.000          2.000               0.000
28/04/08                 1.980          1.980          1.980          1.980               0.000
29/04/08                 2.000          2.000          2.000          2.000               0.000
30/04/08                 1.990          1.990          1.990          1.990               0.000
02/05/08                 1.900          1.980          1.890          1.940               0.000
06/05/08                 1.880          1.980          1.880          1.980               0.000
07/05/08                 1.980          1.980          1.980          1.980               0.000
09/05/08                 1.890          1.940          1.850          1.850               0.000
12/05/08                 1.890          1.890          1.890          1.890               0.000
13/05/08                 1.980          1.980          1.890          1.890               0.000
14/05/08                 1.850          1.850          1.760          1.760               0.000
16/05/08                 1.800          1.800          1.800          1.800               0.000
20/05/08                 1.850          1.850          1.850          1.850               0.000
21/05/08                 1.850          1.850          1.850          1.850               0.000
22/05/08                 1.800          1.800          1.800          1.800               0.000
23/05/08                 1.850          1.880          1.850          1.880               0.000
26/05/08                 1.860          1.880          1.860          1.880               0.000
27/05/08                 1.880          1.880          1.880          1.880               0.000
29/05/08                 1.890          1.890          1.880          1.880               0.000
30/05/08                 1.880          1.890          1.880          1.890               0.000
03/06/08                 1.890          1.890          1.880          1.880               0.000
13/06/08                 1.890          1.890          1.890          1.890               0.000
16/06/08                 1.890          1.890          1.880          1.880               0.000
18/06/08                 1.740          1.860          1.740          1.860               0.000
19/06/08                 1.700          1.700          1.700          1.700               0.000
20/06/08                 1.800          1.800          1.710          1.790               0.000
26/06/08                 1.790          1.790          1.790          1.790               0.000
03/07/08                 1.790          1.890          1.790          1.880               0.000
04/07/08                 1.800          1.800          1.700          1.750               0.000
21/08/08                 1.640          1.700          1.630          1.700               0.000
22/08/08                 1.700          1.700          1.700          1.700               0.000
28/08/08                 1.700          1.700          1.700          1.700               0.000
10/09/08                 1.750          1.750          1.700          1.700               0.000
19/09/08                 1.310          1.400          1.300          1.400               0.000
23/09/08                 1.310          1.390          1.300          1.390               0.000
24/09/08                 1.700          1.700          1.380          1.380               0.000
25/09/08                 1.330          1.500          1.300          1.300               0.000
26/09/08                 1.360          1.360          1.280          1.360               0.000
29/09/08                 1.410          1.410          1.350          1.390               0.000
30/09/08                 1.350          1.360          1.350          1.360               0.000
01/10/08                 1.750          1.750          1.250          1.360               0.000
07/10/08                 1.200          1.200          1.200          1.200               0.000
09/10/08                 1.180          1.180          1.180          1.180               0.000
27/10/08                 0.850          1.170          0.830          0.830               0.000
28/10/08                 0.770          0.830          0.750          0.770               0.000
30/10/08                 0.800          0.800          0.800          0.800               0.000
31/10/08                 0.850          0.850          0.850          0.850               0.000
03/11/08                 0.850          0.880          0.850          0.880               0.000
04/11/08                 0.900          0.900          0.900          0.900               0.000
20/11/08                 0.640          0.640          0.640          0.640               0.000
25/11/08                 0.530          0.530          0.530          0.530               0.000
26/11/08                 0.530          0.550          0.530          0.550               0.000
01/12/08                 0.550          0.550          0.550          0.550               0.000
02/12/08                 0.670          0.700          0.670          0.700               0.000
