Timestamp             CMR.Open       CMR.High        CMR.Low      CMR.Close                .PE 
19/05/16                 3.860          3.860          3.800          3.800              35.320
23/05/16                 3.800          3.800          3.780          3.800              35.320
24/05/16                 3.780          3.780          3.700          3.780              35.140
25/05/16                 3.800          3.850          3.800          3.850              35.790
26/05/16                 3.870          3.900          3.870          3.900              36.250
27/05/16                 3.910          3.940          3.880          3.930              36.530
30/05/16                 3.940          4.040          3.940          4.040              37.560
31/05/16                 4.020          4.160          4.020          4.140              38.490
01/06/16                 4.100          4.240          4.100          4.180              38.860
02/06/16                 4.260          4.260          4.260          4.260              39.600
03/06/16                 4.280          4.300          4.280          4.300              39.970
06/06/16                 4.300          4.320          4.280          4.280              39.790
07/06/16                 4.300          4.380          4.260          4.380              40.720
08/06/16                 4.200          5.650          4.200          5.650              52.520
09/06/16                 5.850          6.950          5.800          6.350              59.030
10/06/16                 6.400          6.450          5.550          5.550              51.590
13/06/16                 5.400          6.200          5.250          6.100              56.710
14/06/16                 6.300          6.350          5.800          5.800              53.920
15/06/16                 5.900          6.300          5.750          6.200              57.640
16/06/16                 6.150          6.200          5.900          5.950              55.310
17/06/16                 6.050          6.150          5.950          5.950              55.310
20/06/16                 5.800          5.950          5.550          5.600              52.060
21/06/16                 5.650          5.850          5.600          5.700              52.990
22/06/16                 5.700          5.750          5.400          5.450              50.660
23/06/16                 5.450          5.850          5.450          5.500              51.130
24/06/16                 5.400          5.550          5.350          5.500              51.130
27/06/16                 5.600          5.900          5.450          5.750              53.450
28/06/16                 5.750          5.900          5.650          5.750              53.450
29/06/16                 5.850          5.900          5.550          5.550              51.590
30/06/16                 5.600          5.650          5.500          5.550              51.590
04/07/16                 5.550          5.750          5.550          5.650              52.520
05/07/16                 5.650          5.650          5.500          5.500              51.130
06/07/16                 5.550          5.600          5.500          5.550              51.590
07/07/16                 5.650          6.100          5.600          6.000              55.780
08/07/16                 6.100          6.400          5.950          6.100              56.710
11/07/16                 6.050          6.250          6.000          6.000              55.780
12/07/16                 6.050          6.100          5.900          5.900              54.850
