Timestamp           BJCHI.Open     BJCHI.High      BJCHI.Low    BJCHI.Close                .PE 
21/04/16                 7.300          7.400          7.250          7.300               8.850
22/04/16                 7.350          7.400          7.300          7.400               8.970
25/04/16                 7.400          7.400          7.250          7.350               8.910
26/04/16                 7.350          7.350          7.250          7.350               8.910
27/04/16                 7.400          7.450          7.250          7.250               8.790
28/04/16                 7.250          7.250          7.100          7.150               8.670
29/04/16                 6.550          6.600          6.300          6.350               7.700
03/05/16                 6.300          6.300          6.050          6.100               7.390
04/05/16                 6.050          6.100          5.800          5.850               7.090
09/05/16                 5.900          6.000          5.900          5.900               7.150
10/05/16                 5.950          5.950          5.700          5.750               6.970
11/05/16                 5.750          5.900          5.700          5.700               6.910
12/05/16                 5.750          5.800          5.700          5.750               6.970
13/05/16                 5.750          5.950          5.750          5.900               7.150
16/05/16                 6.050          6.100          5.950          6.050               7.330
17/05/16                 6.050          6.100          6.000          6.050               6.460
18/05/16                 6.050          6.100          5.850          5.850               6.250
19/05/16                 5.900          5.950          5.850          5.900               6.300
23/05/16                 5.900          5.950          5.800          5.850               6.250
24/05/16                 5.800          6.000          5.800          5.950               6.360
25/05/16                 6.000          6.050          5.900          5.900               6.300
26/05/16                 5.950          6.000          5.900          5.900               6.300
27/05/16                 5.950          6.000          5.900          5.900               6.300
30/05/16                 5.950          6.150          5.900          6.150               6.570
31/05/16                 6.150          6.250          6.100          6.200               6.620
01/06/16                 6.250          6.300          6.100          6.150               6.570
02/06/16                 6.200          6.250          6.100          6.100               6.520
03/06/16                 6.100          6.150          6.050          6.150               6.570
06/06/16                 6.150          6.200          6.100          6.150               6.570
07/06/16                 6.200          6.550          6.200          6.500               6.940
08/06/16                 6.500          6.550          6.300          6.400               6.840
09/06/16                 6.450          6.700          6.450          6.550               7.000
10/06/16                 6.550          6.600          6.400          6.400               6.840
13/06/16                 6.300          6.400          6.200          6.200               6.620
14/06/16                 6.300          6.350          6.250          6.300               6.730
15/06/16                 6.300          6.350          6.250          6.250               6.680
16/06/16                 6.250          6.300          6.100          6.100               6.520
17/06/16                 6.150          6.200          6.100          6.150               6.570
20/06/16                 6.200          6.250          6.150          6.200               6.620
21/06/16                 6.200          6.400          6.150          6.250               6.680
22/06/16                 6.250          6.300          6.150          6.200               6.620
23/06/16                 6.200          6.250          6.150          6.150               6.570
24/06/16                 6.050          6.150          6.000          6.150               6.570
27/06/16                 6.150          6.350          6.150          6.250               6.680
28/06/16                 6.300          6.400          6.300          6.350               6.780
29/06/16                 6.400          6.400          6.300          6.300               6.730
