Timestamp             AHC.Open       AHC.High        AHC.Low      AHC.Close                .PE 
08/12/14                31.000         31.000         30.250         30.500              24.420
09/12/14                30.000         30.500         29.750         29.750              23.820
11/12/14                29.750         29.750         29.000         29.250              23.420
12/12/14                29.000         29.500         29.000         29.250              23.420
15/12/14                29.250         29.250         28.000         28.000              22.420
16/12/14                27.000         28.750         27.000         28.500              22.820
17/12/14                28.750         28.750         28.500         28.750              23.020
18/12/14                28.500         29.000         28.500         29.000              23.220
19/12/14                29.750         29.750         28.750         29.000              23.220
22/12/14                29.250         29.250         29.250         29.250              23.420
23/12/14                28.750         30.000         28.500         28.500              22.820
24/12/14                28.500         28.500         28.500         28.500              22.820
25/12/14                28.500         28.750         28.250         28.250              22.620
26/12/14                28.250         28.500         28.000         28.250              22.620
29/12/14                28.250         28.500         28.250         28.500              22.820
30/12/14                29.000         29.000         28.500         28.500              22.820
05/01/15                28.500         29.000         28.500         28.750              23.020
06/01/15                28.250         29.000         28.250         28.750              23.020
07/01/15                28.500         29.000         28.500         29.000              23.220
08/01/15                28.500         28.500         28.500         28.500              22.820
09/01/15                29.000         29.000         28.500         28.750              23.020
12/01/15                28.500         29.000         28.500         29.000              23.220
13/01/15                29.000         29.000         28.750         28.750              23.020
14/01/15                28.500         29.000         28.500         29.000              23.220
15/01/15                29.000         29.000         28.750         28.750              23.020
16/01/15                29.000         29.000         28.500         28.750              23.020
19/01/15                28.250         29.000         28.250         29.000              23.220
20/01/15                29.000         29.250         28.750         29.000              23.220
21/01/15                29.000         29.000         28.000         28.750              23.020
22/01/15                28.750         29.000         28.500         29.000              23.220
23/01/15                29.000         29.000         28.750         28.750              23.020
26/01/15                28.750         28.750         28.750         28.750              23.020
27/01/15                28.750         28.750         28.500         28.750              23.020
28/01/15                29.000         29.000         28.750         28.750              23.020
29/01/15                28.750         29.000         28.500         29.000              23.220
30/01/15                29.000         29.250         28.750         29.000              23.220
02/02/15                28.750         28.750         28.250         28.500              22.820
03/02/15                28.500         28.500         28.250         28.500              22.820
04/02/15                28.500         28.750         28.250         28.250              22.620
05/02/15                28.500         28.750         28.500         28.750              23.020
06/02/15                29.000         29.250         28.500         29.000              23.220
09/02/15                29.250         29.250         28.500         28.500              22.820
10/02/15                28.500         29.000         28.250         28.250              22.620
11/02/15                28.500         29.000         28.250         28.500              22.820
12/02/15                28.500         28.500         28.250         28.250              22.620
13/02/15                28.250         29.000         28.250         28.750              23.020
